anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
36228,Anisama,5.7,"Adventure, Comedy, Fantasy",ONA,1,2017,summer 2017,Finished,,Other,PG,10058,10353,0,814
17403,Kaitou Lupin: 813 no Nazo,6.21,Mystery,Special,1,1979,spring 1979,Finished,Tatsunoko Production,,PG-13,7818,12742,1,141
36225,Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,7.21,Hentai,OVA,1,2017,fall 2017,Finished,Seven,Visual novel,Rx,,4657,103,8548
4667,B-Legend! Battle B-Daman Fire Spirits!,6.37,"Adventure, Fantasy",TV,51,2005,winter 2005,Finished,,,PG,7037,8017,14,2555
4675,Detective File 1: Kindan no Ai,4.88,Hentai,OVA,1,1999,summer 1999,Finished,P core,Manga,Rx,,10595,1,642
3232,Bannou Bunka Neko-Musume Specials,6.3,"Action, Adventure, Comedy, Sci-Fi",Special,2,1999,summer 1999,Finished,Ashi Productions,,PG-13,7371,10815,1,707
36254,Jukujo Shigan,5.34,Hentai,OVA,1,2017,summer 2017,Finished,MB planning,Original,Rx,,10312,4,808
36256,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,7.23,Hentai,OVA,4,2017,fall 2017,Finished,Collaboration Works,Web manga,Rx,,5285,98,6051
38568,Susume! Dokan-kun,,Comedy,TV,13,2007,summer 2007,Finished,DLE,Original,G,12712,18576,0,
38545,Han Solo/Star Wars Story,4.71,Sci-Fi,ONA,2,2018,fall 2018,Finished,,Other,G,12304,13491,1,358
36280,Usatalk,3.88,Avant Garde,ONA,1,2010,summer 2010,Finished,,Original,G,12621,14321,1,310
17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,,"Drama, Slice of Life",TV,33,1978,fall 1978,Finished,Toei Animation,Other,G,18893,14389,1,
36278,Gokiburi Hime,5.24,Sci-Fi,ONA,1,2015,fall 2015,Finished,,Original,G,11499,14471,0,270
48626,J* Fuuzoku Gakuensai,7.19,Hentai,OVA,2,2021,spring 2021,Finished,T-Rex,Manga,Rx,,6152,44,4529
1422,Lupin III: $1 Money Wars,7.11,"Action, Adventure, Comedy, Mystery",Special,1,2000,summer 2000,Finished,TMS Entertainment,,PG-13,3490,6967,1,2821
38554,Aoku Tsuzuku Pass,5.57,Sports,ONA,1,2018,fall 2018,Finished,,Original,G,10546,15438,0,190
